HS_used	TL_used	Share_TL_used	HS_selected	TL_selected
HS12	600532	0.5	HS17	600535
HS12	600533	0.5	HS17	600535
HS12	600534	0.5	HS17	600535
HS12	600531	0.5	HS17	600536
HS12	600532	0.5	HS17	600537
HS12	600533	0.5	HS17	600538
HS12	600534	0.5	HS17	600539
HS12	630491	0.5	HS17	630420
HS12	630491	0.5	HS17	630491
HS12	681510	0.5	HS17	681510
HS12	690710	0.2	HS17	690721
HS12	690790	0.2	HS17	690721
HS12	690810	0.2	HS17	690721
HS12	690890	0.2	HS17	690721
HS12	690710	0.2	HS17	690722
HS12	690790	0.2	HS17	690722
HS12	690810	0.2	HS17	690722
HS12	690890	0.2	HS17	690722
HS12	690710	0.2	HS17	690723
HS12	690790	0.2	HS17	690723
HS12	690810	0.2	HS17	690723
HS12	690890	0.2	HS17	690723
HS12	690710	0.2	HS17	690730
HS12	690790	0.2	HS17	690730
HS12	690810	0.2	HS17	690730
HS12	690890	0.2	HS17	690730
HS12	690710	0.2	HS17	690740
HS12	690790	0.2	HS17	690740
HS12	690810	0.2	HS17	690740
HS12	690890	0.2	HS17	690740
HS12	732690	0.5	HS17	732690
HS12	761699	0.5	HS17	761699
HS12	842481	0.333333333333333	HS17	842441
HS12	842481	0.333333333333333	HS17	842449
HS12	842481	0.333333333333333	HS17	842482
HS12	843139	0.5	HS17	843139
HS12	843230	0.5	HS17	843231
HS12	843230	0.5	HS17	843239
HS12	843240	0.5	HS17	843241
HS12	843240	0.5	HS17	843242
HS12	845610	0.5	HS17	845611
HS12	845610	0.5	HS17	845612
HS12	845690	0.333333333333333	HS17	845640
HS12	845690	0.333333333333333	HS17	845650
HS12	845690	0.333333333333333	HS17	845690
HS12	845940	0.5	HS17	845941
HS12	845940	0.5	HS17	845949
HS12	846011	1	HS17	846012
HS12	846090	0.142857142857143	HS17	846012
HS12	846019	1	HS17	846019
HS12	846090	0.142857142857143	HS17	846019
HS12	846021	0.333333333333333	HS17	846022
HS12	846090	0.142857142857143	HS17	846022
HS12	846021	0.333333333333333	HS17	846023
HS12	846090	0.142857142857143	HS17	846023
HS12	846021	0.333333333333333	HS17	846024
HS12	846090	0.142857142857143	HS17	846024
HS12	846029	1	HS17	846029
HS12	846090	0.142857142857143	HS17	846029
HS12	846090	0.142857142857143	HS17	846090
HS12	846591	0.5	HS17	846520
HS12	846592	0.5	HS17	846520
HS12	846593	0.5	HS17	846520
HS12	846594	0.5	HS17	846520
HS12	846595	0.5	HS17	846520
HS12	846596	0.5	HS17	846520
HS12	846599	0.5	HS17	846520
HS12	846591	0.5	HS17	846591
HS12	846592	0.5	HS17	846592
HS12	846593	0.5	HS17	846593
HS12	846594	0.5	HS17	846594
HS12	846595	0.5	HS17	846595
HS12	846596	0.5	HS17	846596
HS12	846599	0.5	HS17	846599
HS12	846900	1	HS17	847290
HS12	847290	1	HS17	847290
HS12	847330	0.5	HS17	847330
HS12	847310	1	HS17	847340
HS12	847340	1	HS17	847340
HS12	847350	0.5	HS17	847340
HS12	847350	0.5	HS17	847350
HS12	848790	0.5	HS17	848790
HS12	852290	0.5	HS17	852290
HS12	852841	1	HS17	852842
HS12	852849	0.5	HS17	852842
HS12	852849	0.5	HS17	852849
HS12	852851	1	HS17	852852
HS12	852859	0.5	HS17	852852
HS12	852859	0.5	HS17	852859
HS12	852861	1	HS17	852862
HS12	852869	0.5	HS17	852862
HS12	852869	0.5	HS17	852869
HS12	852990	0.5	HS17	852990
HS12	854370	0.5	HS17	853950
HS12	854231	1	HS17	854231
HS12	854232	1	HS17	854232
HS12	854233	1	HS17	854233
HS12	854239	1	HS17	854239
HS12	854370	0.5	HS17	854370
HS12	870190	0.2	HS17	870191
HS12	870190	0.2	HS17	870192
HS12	870190	0.2	HS17	870193
HS12	870190	0.2	HS17	870194
HS12	870190	0.2	HS17	870195
HS12	870210	0.5	HS17	870210
HS12	870210	0.5	HS17	870220
HS12	870290	0.25	HS17	870220
HS12	870290	0.25	HS17	870230
HS12	870290	0.25	HS17	870240
HS12	870290	0.25	HS17	870290
HS12	870321	0.333333333333333	HS17	870321
HS12	870322	0.333333333333333	HS17	870322
HS12	870323	0.333333333333333	HS17	870323
HS12	870324	0.333333333333333	HS17	870324
HS12	870331	0.333333333333333	HS17	870331
HS12	870332	0.333333333333333	HS17	870332
HS12	870333	0.333333333333333	HS17	870333
HS12	870321	0.333333333333333	HS17	870340
HS12	870322	0.333333333333333	HS17	870340
HS12	870323	0.333333333333333	HS17	870340
HS12	870324	0.333333333333333	HS17	870340
HS12	870390	0.166666666666667	HS17	870340
HS12	870331	0.333333333333333	HS17	870350
HS12	870332	0.333333333333333	HS17	870350
HS12	870333	0.333333333333333	HS17	870350
HS12	870390	0.166666666666667	HS17	870350
HS12	870321	0.333333333333333	HS17	870360
HS12	870322	0.333333333333333	HS17	870360
HS12	870323	0.333333333333333	HS17	870360
HS12	870324	0.333333333333333	HS17	870360
HS12	870390	0.166666666666667	HS17	870360
HS12	870331	0.333333333333333	HS17	870370
HS12	870332	0.333333333333333	HS17	870370
HS12	870333	0.333333333333333	HS17	870370
HS12	870390	0.166666666666667	HS17	870370
